ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT,ITEM_CATEGORY_L2,ITEM_CATEGORY_L1,ITEM_PRICE,ITEM_PRODUCT_NAME,ITEM_PRODUCT_DESCRIPTION,Contact ID,OCCURREDAT
c26e6166-6609-4e61-a674-3e58b6dfc7fc,961,Purchase,1701467500,No,tables,furniture,270,Sleek Wooden Table for Productivity,"The Light Brown Minimalist Work Table provides an essential, durable workspace to increase productivity. Its spacious tabletop, clean lines, and sturdy wood construction lend an airy modern feel to any home office.",13105,12/1/23
c1c8a6c7-9714-4015-9944-ecedbd066dac,2692,Purchase,1701468600,Yes,clock,homedecor,129,Stylish Clock Wakes You Gently,"The perfect bedside companion, this contemporary alarm clock features customizable alarms to suit your schedule, adjustable snooze, easy-to-read display, and sleek styling to complement any decor. Reliably keeps you on time every morning.",11445,12/1/23
6ec2a7e8-8b76-4187-b83d-9f9631639d76,2890,Purchase,1701469698,Yes,earrings,jewelry,24,Stylish Cool Earrings,"Stylish and fashionable lightweight earrings featuring a contemporary chic design. These comfortable, durable women's earrings complement any outfit from casual daily wear to dressier occasions with their versatile modern styling and touch of elegance. The perfect accessory to pull your look together.",12145,12/1/23
d94f2195-c77a-45f1-ad44-38131f3f875d,5219,Purchase,1701470795,No,dressers,furniture,263,Sleek Gray Minimalist Dresser,"Captivate with this two-drawer Gainsboro dresser. Its minimalist style and smooth finishes lend an airy, sophisticated look to any bedroom. The neutral gray complements any decor.",15779,12/1/23
575c0ac0-5494-4c64-a886-a9c0cf8b779a,5309,Purchase,1701471901,No,other cuisine,food service,4,Lentil Potato Carrot Dish,"Hearty lentil dish with protein-rich legumes, potatoes, carrots and savory spices. Satisfying vegetarian meal, nutritious and delicious.",16278,12/1/23
665c1282-d2e2-40b9-9905-189675663f49,3509,Purchase,1701472997,No,easter,seasonal,58,Handcrafted Easter Egg Decor,"This beautifully handcrafted decorative egg features intricate designs and vibrant colors, perfect for adding a festive touch of charm to your Easter decor.",14760,12/1/23
36ba2aec-a64e-4ac5-911d-a36cbbfa83bf,4067,Purchase,1701474098,Yes,cushion,homedecor,179,Luxurious Cushions - Elevate Your Home,"Elevate your home with the Perfect Cushions - lush, indulgent cushions mold to your body for unparalleled comfort and superior support. Luxurious style meets unbelievable softness in these elegant yet timeless home decor accessories.",16307,12/1/23
75f06592-a0a2-4dc5-acfb-76b275dae3aa,2516,Purchase,1701475195,Yes,kayaking,outdoors,320,Sleek Solo Kayak for Lakes and Rivers,"Glide effortlessly across lakes and rivers in this nimble, lightweight solo kayak. Its sleek shape provides speed and tracking, while the padded seat and ample storage make for a comfortable adventure.",13632,12/1/23
3eba60d7-fbde-4f4d-bb3a-30df62057fe0,4388,Purchase,1701476292,No,belt,accessories,65,"Sleek Leather Belt, Sophisticated Style","Sleek, minimalist black or brown leather belt with adjustable polished metal buckle. Versatile accessory complements any style, from casual to formal. Premium construction, comfort, and timeless sophistication.",14047,12/2/23
e1105a38-cf8f-4bbf-a1de-968b94b22b80,4725,Purchase,1701477398,Yes,formal,footwear,10,Sleek Brown Leather Oxfords,Expertly crafted brown leather oxfords offering timeless style. The sleek lace-up design and durable rubber sole provide versatility for work or formal events. Made with full-grain leather for a polished look and comfortable fit.,16289,12/2/23
e6a872ab-6a79-4703-9148-1efdca2289e5,4061,Purchase,1701478497,Yes,belt,accessories,78,Stylish Reversible Paisley Belt,Make a stylish statement with this reversible leather belt featuring a funky paisley print on one side and sleek black on the reverse. The adjustable metal buckle ensures a perfect fit for any occasion.,15071,12/2/23
