ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT,ITEM_CATEGORY_L2,ITEM_CATEGORY_L1,ITEM_PRICE,ITEM_PRODUCT_NAME,ITEM_PRODUCT_DESCRIPTION,Contact ID,OCCURREDAT,Product ID,Deal Name,Deal Pipeline,Deal Stage,Quantity,Deal Amount
e7af1dbd-4ab2-4201-b70f-1a52e4ea9250,810,AddToCart,1701466538,No,formal,footwear,10,Sleek Brown Leather Oxford Shoes,"Introducing our brown leather oxford shoes - a timeless classic for the modern gentleman. Crafted from rich leather with intricate stitching, these sleek lace-up shoes offer lasting comfort and polished style for work or formal occasions. Step into sophistication.",13553,12/1/23,2684214807,Sleek Brown Leather Oxford Shoes Cart,eCommerce,Checkout Pending,1,10
959f89a4-6a5a-469e-85cf-567d9a6ff831,10,AddToCart,1701466664,No,easter,seasonal,52,Springtime Easter Cheer Decor,"Celebrate the joy of Easter with our festive and colorful seasonal decorations! These lively wreaths, garlands, and ornamental pieces evoke the pastel colors of spring and are perfect for brightening up your home or garden for the holiday.",10258,12/1/23,2683901044,Springtime Easter Cheer Decor Cart,eCommerce,Checkout Pending,1,52
23226ca8-a535-4dd6-a7a8-a68c0200d2a3,1665,AddToCart,1701466813,No,formal,footwear,10,Sleek Brown Leather Oxfords,"These sleek brown leather oxfords are crafted from high-quality materials with a timeless lace-up design, offering versatile formal style and all-day comfort for the refined gentleman.",10226,12/1/23,2684219473,Sleek Brown Leather Oxfords Cart,eCommerce,Checkout Pending,1,10
96d887df-efe3-4d05-8df0-8cb2a0674711,2258,AddToCart,1701466937,No,lighting,homedecor,41,"Artisanal Soy Candle, Warm Home Lighting","Hand-poured in small batches, this artisanal soy wax candle fills your home with inviting fragrance and soft light. Its simple yet elegant design adds a special decorative touch to any room's decor.",10968,12/1/23,2684241848,"Artisanal Soy Candle, Warm Home Lighting Cart",eCommerce,Checkout Pending,1,41
e34b2124-55d6-41f1-a8d6-53285ec3b6af,960,AddToCart,1701467080,No,socks,apparel,24,Stylish Solid Dress Socks for Men,"Elevate your style with these sophisticated dress socks featuring a smooth, durable fabric and classic solid pattern that perfectly complements both formal and casual attire.",11162,12/1/23,2684205164,Stylish Solid Dress Socks for Men Cart,eCommerce,Checkout Pending,1,24
bb3f926c-9869-4b47-b13d-63271768f0b1,4719,AddToCart,1701467213,Yes,formal,footwear,10,Glittery Formal Dance Heels,Shimmering formal heels for special occasions. Elegant yet comfortable design with sparkling accents. Sturdy anti-slip sole provides stability while you dance the night away in dazzling style.,16765,12/1/23,2684228734,Glittery Formal Dance Heels Cart,eCommerce,Checkout Pending,1,10
084a7fbb-bd4b-40d1-80af-5d8d7fe1bd56,590,AddToCart,1701467353,No,dairy,groceries,3,Tangy Aged Farmhouse Cheese,"Our award-winning aged farmhouse cheese boasts a delightfully nutty, tangy flavor. Carefully crafted using traditional techniques, it has a smooth, supple texture perfect for snacking or cooking. This high-quality cheese adds depth of flavor to any dish.",11261,12/1/23,2684071471,Tangy Aged Farmhouse Cheese Cart,eCommerce,Checkout Pending,1,3
c26e6166-6609-4e61-a674-3e58b6dfc7fc,961,AddToCart,1701467491,No,tables,furniture,270,Sleek Wooden Table for Productivity,"The Light Brown Minimalist Work Table provides an essential, durable workspace to increase productivity. Its spacious tabletop, clean lines, and sturdy wood construction lend an airy modern feel to any home office.",13105,12/1/23,2684226175,Sleek Wooden Table for Productivity Cart,eCommerce,Checkout Pending,1,270
2cb36a55-d238-45cf-a3ac-8e2cdf187c43,4999,AddToCart,1701467635,Yes,socks,apparel,13,Stylish Patterned Socks for Bold Flair,"Make a bold style statement with these vibrantly patterned socks! The smooth, comfortable fit and high-quality materials add flair to any outfit.",17328,12/1/23,2684210862,Stylish Patterned Socks for Bold Flair Cart,eCommerce,Checkout Pending,1,13
f42e5d43-3131-41be-b71c-7d809a998104,3672,AddToCart,1701467772,Yes,belt,accessories,65,Sleek Leather Belt with Attitude,"This stylish leather belt with polished buckle cinches your waist and adds flair to any outfit. Sophisticated yet edgy, it complements both dressy and casual looks with a touch of attitude.",10097,12/1/23,2684211474,Sleek Leather Belt with Attitude Cart,eCommerce,Checkout Pending,1,65
